IDH,IDC,Distancia,Tiempo
3,132,36616,27249
3,369,36616,27249
3,436,36403,27091
3,496,36616,27249
3,53,36007,27229
3,55,36298,27505
3,107,37507,28482
3,151,36829,27943
3,188,36765,27879
3,293,36827,27942
3,341,36765,27879
3,346,36335,27515
3,153,34922,26477
3,289,36452,27752
3,339,34859,26606
3,52,33548,25834
3,137,35181,26649
3,145,33932,25940
3,228,33202,25404
3,282,33293,25147
3,315,33932,25940
3,327,34106,26232
3,334,35173,26790
3,350,33256,25123
3,363,32842,25127
3,379,34107,26060
3,413,36876,27554
3,421,34530,26356
3,433,33140,25352
3,448,33081,25312
3,439,34089,25629
3,483,32917,24730
3,407,28185,22054
3,320,17965,14315
3,319,17432,13856
3,58,17847,13677
3,8,17125,13181
3,49,16195,12515
3,135,17063,13146
3,143,17218,13251
3,161,17685,13598
3,307,18581,14251
3,387,15303,11927
3,419,17063,13146
3,424,16906,13046
3,299,28001,22687
3,331,28118,21714
3,2,28260,21479
3,36,30029,22668
3,38,28353,21512
3,47,32904,24786
3,64,28842,21898
3,84,30103,22728
3,172,30957,23385
3,180,29828,22521
3,186,28010,21275
3,194,30103,22728
3,247,30103,22728
3,248,30152,22766
3,253,29815,22513
3,259,30031,22674
3,260,29955,22616
3,265,30103,22728
3,266,30103,22728
3,267,30155,22768
3,321,30147,22762
3,333,28175,21396
3,345,29829,22522
3,357,30615,23102
3,371,30957,23385
3,385,27771,21117
3,389,30755,23216
3,405,31986,24100
3,420,29829,22522
3,423,28239,21465
3,429,29323,22223
3,430,30770,23264
3,435,30900,23291
3,437,30606,23146
3,466,28260,21479
3,474,30155,22768
3,477,31552,23811
3,479,28605,21684
3,484,28946,21985
3,21,23400,18041
3,233,23343,17974
3,446,23578,18133
3,478,23578,18133
3,19,22712,17874
3,24,22717,17874
3,27,22706,17874
3,30,22218,17191
3,42,23078,17829
3,43,22801,17638
3,46,22135,17449
3,57,22059,17376
3,62,21663,17096
3,92,22135,17449
3,96,22400,17644
3,112,22135,17449
3,121,23522,20079
3,160,23484,18112
3,174,22135,17449
3,192,22557,17763
3,193,22636,17818
3,208,21993,17310
3,209,22501,17721
3,210,22553,17757
3,220,22523,17737
3,224,22676,17535
3,242,22695,17858
3,243,22693,17856
3,244,22740,17891
3,246,22511,17730
3,249,22494,17719
3,250,22512,17729
3,251,22494,17719
3,252,22511,17730
3,254,22704,17864
3,255,22494,17719
3,256,22511,17730
3,257,22591,17787
3,262,22895,18009
3,264,22494,17719
3,271,22642,17820
3,277,23358,18021
3,281,22135,17449
3,291,21800,16983
3,306,22604,17793
3,310,22461,17415
3,317,20905,16367
3,347,22512,17731
